source,agenda_score,follower_score,times_first,times_follower,topics_total,news_count,role,last_update,cycle
france24_es,75.0,25.0,6,2,8,59,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
newtral,75.0,25.0,3,1,4,13,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
europapress,66.7,33.3,4,2,6,27,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
google_news_es,61.1,38.9,33,21,54,209,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
huffington_es,60.0,40.0,9,6,15,86,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
lavanguardia,51.2,48.8,22,21,43,286,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
elpais_internacional,50.0,50.0,1,1,2,19,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
bbc_mundo,50.0,50.0,2,2,4,33,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
elmundo,44.4,55.6,8,10,18,62,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
eldiario,43.8,56.2,14,18,32,153,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
elmundo_espana,42.9,57.1,3,4,7,58,Marcador de agenda,2026-03-07 14:17,2026-03-07 14:17
elpais,39.0,61.0,16,25,41,235,Mixto,2026-03-07 14:17,2026-03-07 14:17
20minutos,37.5,62.5,18,30,48,297,Mixto,2026-03-07 14:17,2026-03-07 14:17
okdiario,36.8,63.2,7,12,19,230,Mixto,2026-03-07 14:17,2026-03-07 14:17
expansion,35.7,64.3,5,9,14,103,Mixto,2026-03-07 14:17,2026-03-07 14:17
elespanol,35.0,65.0,7,13,20,65,Mixto,2026-03-07 14:17,2026-03-07 14:17
google_news_politica,33.3,66.7,4,8,12,70,Mixto,2026-03-07 14:17,2026-03-07 14:17
elcorreo,30.8,69.2,4,9,13,120,Mixto,2026-03-07 14:17,2026-03-07 14:17
elconfidencial,27.3,72.7,3,8,11,28,Mixto,2026-03-07 14:17,2026-03-07 14:17
heraldo_aragon,21.9,78.1,7,25,32,352,Mixto,2026-03-07 14:17,2026-03-07 14:17
levante_emv,20.0,80.0,4,16,20,134,Mixto,2026-03-07 14:17,2026-03-07 14:17
infolibre,17.6,82.4,3,14,17,72,Seguidor,2026-03-07 14:17,2026-03-07 14:17
elmundo_internacional,0.0,100.0,0,1,1,39,Seguidor,2026-03-07 14:17,2026-03-07 14:17
maldita,0.0,100.0,0,1,1,28,Seguidor,2026-03-07 14:17,2026-03-07 14:17
france24_es,75.0,25.0,6,2,8,59,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
huffington_es,68.8,31.2,11,5,16,87,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
newtral,66.7,33.3,2,1,3,13,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
google_news_es,62.1,37.9,36,22,58,216,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
elmundo_espana,57.1,42.9,4,3,7,58,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
europapress,57.1,42.9,4,3,7,28,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
google_news_politica,54.5,45.5,6,5,11,70,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
lavanguardia,47.6,52.4,20,22,42,294,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
elespanol,45.5,54.5,10,12,22,66,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
eldiario,41.9,58.1,13,18,31,155,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
bbc_mundo,40.0,60.0,2,3,5,33,Marcador de agenda,2026-03-07 14:31,2026-03-07 14:31
elcorreo,36.4,63.6,4,7,11,124,Mixto,2026-03-07 14:31,2026-03-07 14:31
elpais,34.9,65.1,15,28,43,236,Mixto,2026-03-07 14:31,2026-03-07 14:31
20minutos,33.3,66.7,16,32,48,301,Mixto,2026-03-07 14:31,2026-03-07 14:31
elmundo,33.3,66.7,5,10,15,69,Mixto,2026-03-07 14:31,2026-03-07 14:31
okdiario,31.6,68.4,6,13,19,237,Mixto,2026-03-07 14:31,2026-03-07 14:31
expansion,28.6,71.4,4,10,14,104,Mixto,2026-03-07 14:31,2026-03-07 14:31
heraldo_aragon,24.2,75.8,8,25,33,353,Mixto,2026-03-07 14:31,2026-03-07 14:31
levante_emv,21.1,78.9,4,15,19,140,Mixto,2026-03-07 14:31,2026-03-07 14:31
infolibre,13.3,86.7,2,13,15,73,Seguidor,2026-03-07 14:31,2026-03-07 14:31
elconfidencial,10.0,90.0,1,9,10,28,Seguidor,2026-03-07 14:31,2026-03-07 14:31
elmundo_internacional,0.0,100.0,0,1,1,39,Seguidor,2026-03-07 14:31,2026-03-07 14:31
maldita,0.0,100.0,0,1,1,28,Seguidor,2026-03-07 14:31,2026-03-07 14:31
elpais_internacional,0.0,100.0,0,1,1,19,Seguidor,2026-03-07 14:31,2026-03-07 14:31
google_news_es,66.7,33.3,36,18,54,222,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
newtral,66.7,33.3,2,1,3,13,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
france24_es,62.5,37.5,5,3,8,65,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
europapress,57.1,42.9,4,3,7,28,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
huffington_es,57.1,42.9,8,6,14,89,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
lavanguardia,52.4,47.6,22,20,42,296,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
elmundo,50.0,50.0,7,7,14,69,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
google_news_politica,45.5,54.5,5,6,11,70,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
eldiario,45.2,54.8,14,17,31,159,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
elmundo_espana,42.9,57.1,3,4,7,58,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
elpais,40.5,59.5,17,25,42,237,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
bbc_mundo,40.0,60.0,2,3,5,33,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
elcorreo,40.0,60.0,6,9,15,125,Marcador de agenda,2026-03-07 15:01,2026-03-07 15:01
elespanol,36.4,63.6,8,14,22,68,Mixto,2026-03-07 15:01,2026-03-07 15:01
okdiario,35.0,65.0,7,13,20,238,Mixto,2026-03-07 15:01,2026-03-07 15:01
expansion,33.3,66.7,5,10,15,106,Mixto,2026-03-07 15:01,2026-03-07 15:01
20minutos,31.2,68.8,15,33,48,309,Mixto,2026-03-07 15:01,2026-03-07 15:01
elconfidencial,27.3,72.7,3,8,11,28,Mixto,2026-03-07 15:01,2026-03-07 15:01
levante_emv,23.8,76.2,5,16,21,145,Mixto,2026-03-07 15:01,2026-03-07 15:01
heraldo_aragon,20.0,80.0,6,24,30,367,Mixto,2026-03-07 15:01,2026-03-07 15:01
infolibre,16.7,83.3,3,15,18,74,Seguidor,2026-03-07 15:01,2026-03-07 15:01
elmundo_internacional,0.0,100.0,0,1,1,39,Seguidor,2026-03-07 15:01,2026-03-07 15:01
elpais_internacional,0.0,100.0,0,2,2,18,Seguidor,2026-03-07 15:01,2026-03-07 15:01
maldita,0.0,100.0,0,1,1,28,Seguidor,2026-03-07 15:01,2026-03-07 15:01
france24_es,75.0,25.0,6,2,8,66,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
newtral,66.7,33.3,2,1,3,13,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
huffington_es,64.3,35.7,9,5,14,91,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
google_news_es,58.3,41.7,35,25,60,228,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
elmundo_espana,57.1,42.9,4,3,7,58,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
elmundo,50.0,50.0,7,7,14,69,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
lavanguardia,47.7,52.3,21,23,44,299,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
elcorreo,46.2,53.8,6,7,13,128,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
eldiario,44.4,55.6,16,20,36,160,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
europapress,42.9,57.1,3,4,7,29,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
bbc_mundo,40.0,60.0,2,3,5,35,Marcador de agenda,2026-03-07 15:31,2026-03-07 15:31
elespanol,39.1,60.9,9,14,23,68,Mixto,2026-03-07 15:31,2026-03-07 15:31
okdiario,39.1,60.9,9,14,23,239,Mixto,2026-03-07 15:31,2026-03-07 15:31
google_news_politica,38.5,61.5,5,8,13,70,Mixto,2026-03-07 15:31,2026-03-07 15:31
expansion,37.5,62.5,6,10,16,106,Mixto,2026-03-07 15:31,2026-03-07 15:31
20minutos,36.0,64.0,18,32,50,312,Mixto,2026-03-07 15:31,2026-03-07 15:31
elpais,34.9,65.1,15,28,43,237,Mixto,2026-03-07 15:31,2026-03-07 15:31
levante_emv,28.6,71.4,6,15,21,146,Mixto,2026-03-07 15:31,2026-03-07 15:31
elconfidencial,27.3,72.7,3,8,11,28,Mixto,2026-03-07 15:31,2026-03-07 15:31
heraldo_aragon,25.0,75.0,8,24,32,372,Mixto,2026-03-07 15:31,2026-03-07 15:31
infolibre,15.0,85.0,3,17,20,75,Seguidor,2026-03-07 15:31,2026-03-07 15:31
elmundo_internacional,0.0,100.0,0,1,1,39,Seguidor,2026-03-07 15:31,2026-03-07 15:31
elpais_internacional,0.0,100.0,0,1,1,18,Seguidor,2026-03-07 15:31,2026-03-07 15:31
maldita,0.0,100.0,0,1,1,28,Seguidor,2026-03-07 15:31,2026-03-07 15:31
newtral,66.7,33.3,2,1,3,13,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
france24_es,62.5,37.5,5,3,8,68,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
huffington_es,60.0,40.0,9,6,15,92,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
google_news_es,58.5,41.5,38,27,65,235,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
lavanguardia,53.2,46.8,25,22,47,300,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
europapress,50.0,50.0,4,4,8,29,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
elmundo,46.7,53.3,7,8,15,70,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
elcorreo,43.8,56.2,7,9,16,131,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
okdiario,43.5,56.5,10,13,23,241,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
elmundo_espana,42.9,57.1,3,4,7,58,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
eldiario,41.7,58.3,15,21,36,162,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
bbc_mundo,40.0,60.0,2,3,5,36,Marcador de agenda,2026-03-07 16:01,2026-03-07 16:01
elespanol,39.1,60.9,9,14,23,69,Mixto,2026-03-07 16:01,2026-03-07 16:01
elpais,38.6,61.4,17,27,44,237,Mixto,2026-03-07 16:01,2026-03-07 16:01
google_news_politica,38.5,61.5,5,8,13,71,Mixto,2026-03-07 16:01,2026-03-07 16:01
expansion,37.5,62.5,6,10,16,105,Mixto,2026-03-07 16:01,2026-03-07 16:01
levante_emv,30.4,69.6,7,16,23,149,Mixto,2026-03-07 16:01,2026-03-07 16:01
elconfidencial,27.3,72.7,3,8,11,28,Mixto,2026-03-07 16:01,2026-03-07 16:01
20minutos,26.5,73.5,13,36,49,316,Mixto,2026-03-07 16:01,2026-03-07 16:01
heraldo_aragon,25.0,75.0,9,27,36,382,Mixto,2026-03-07 16:01,2026-03-07 16:01
infolibre,15.8,84.2,3,16,19,74,Seguidor,2026-03-07 16:01,2026-03-07 16:01
elpais_internacional,0.0,100.0,0,1,1,18,Seguidor,2026-03-07 16:01,2026-03-07 16:01
maldita,0.0,100.0,0,1,1,28,Seguidor,2026-03-07 16:01,2026-03-07 16:01
elmundo_internacional,0.0,100.0,0,1,1,39,Seguidor,2026-03-07 16:01,2026-03-07 16:01
newtral,66.7,33.3,2,1,3,13,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
google_news_es,63.6,36.4,42,24,66,241,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
huffington_es,62.5,37.5,10,6,16,95,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
france24_es,57.1,42.9,4,3,7,69,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
lavanguardia,54.8,45.2,23,19,42,302,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
europapress,50.0,50.0,3,3,6,29,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
google_news_politica,46.2,53.8,6,7,13,71,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
okdiario,45.0,55.0,9,11,20,246,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
eldiario,43.8,56.2,14,18,32,163,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
elcorreo,43.8,56.2,7,9,16,134,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
elmundo_espana,42.9,57.1,3,4,7,58,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
expansion,40.0,60.0,6,9,15,107,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
bbc_mundo,40.0,60.0,2,3,5,34,Marcador de agenda,2026-03-07 16:31,2026-03-07 16:31
elpais,35.4,64.6,17,31,48,237,Mixto,2026-03-07 16:31,2026-03-07 16:31
elmundo,35.3,64.7,6,11,17,70,Mixto,2026-03-07 16:31,2026-03-07 16:31
elespanol,34.8,65.2,8,15,23,69,Mixto,2026-03-07 16:31,2026-03-07 16:31
20minutos,29.4,70.6,15,36,51,318,Mixto,2026-03-07 16:31,2026-03-07 16:31
elconfidencial,27.3,72.7,3,8,11,28,Mixto,2026-03-07 16:31,2026-03-07 16:31
levante_emv,23.8,76.2,5,16,21,154,Mixto,2026-03-07 16:31,2026-03-07 16:31
heraldo_aragon,20.7,79.3,6,23,29,389,Mixto,2026-03-07 16:31,2026-03-07 16:31
infolibre,16.7,83.3,3,15,18,74,Seguidor,2026-03-07 16:31,2026-03-07 16:31
maldita,0.0,100.0,0,1,1,27,Seguidor,2026-03-07 16:31,2026-03-07 16:31
elpais_internacional,0.0,100.0,0,2,2,18,Seguidor,2026-03-07 16:31,2026-03-07 16:31
elmundo_internacional,0.0,100.0,0,1,1,39,Seguidor,2026-03-07 16:31,2026-03-07 16:31
newtral,66.7,33.3,2,1,3,13,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
europapress,57.1,42.9,4,3,7,29,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
google_news_es,57.1,42.9,40,30,70,248,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
france24_es,57.1,42.9,4,3,7,71,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
huffington_es,55.6,44.4,10,8,18,95,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
elcorreo,53.8,46.2,7,6,13,136,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
lavanguardia,51.1,48.9,23,22,45,303,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
eldiario,48.4,51.6,15,16,31,163,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
expansion,47.1,52.9,8,9,17,107,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
elmundo,43.8,56.2,7,9,16,73,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
okdiario,43.5,56.5,10,13,23,248,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
elmundo_espana,42.9,57.1,3,4,7,57,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
google_news_politica,42.9,57.1,6,8,14,72,Marcador de agenda,2026-03-07 17:01,2026-03-07 17:01
elpais,38.3,61.7,18,29,47,237,Mixto,2026-03-07 17:01,2026-03-07 17:01
elespanol,34.8,65.2,8,15,23,69,Mixto,2026-03-07 17:01,2026-03-07 17:01
bbc_mundo,33.3,66.7,2,4,6,34,Mixto,2026-03-07 17:01,2026-03-07 17:01
20minutos,28.6,71.4,14,35,49,318,Mixto,2026-03-07 17:01,2026-03-07 17:01
levante_emv,26.1,73.9,6,17,23,164,Mixto,2026-03-07 17:01,2026-03-07 17:01
heraldo_aragon,23.3,76.7,7,23,30,391,Mixto,2026-03-07 17:01,2026-03-07 17:01
elconfidencial,20.0,80.0,2,8,10,28,Mixto,2026-03-07 17:01,2026-03-07 17:01
infolibre,16.7,83.3,3,15,18,75,Seguidor,2026-03-07 17:01,2026-03-07 17:01
maldita,0.0,100.0,0,1,1,27,Seguidor,2026-03-07 17:01,2026-03-07 17:01
elmundo_internacional,0.0,100.0,0,1,1,39,Seguidor,2026-03-07 17:01,2026-03-07 17:01
elpais_internacional,0.0,100.0,0,2,2,18,Seguidor,2026-03-07 17:01,2026-03-07 17:01
newtral,66.7,33.3,2,1,3,13,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
google_news_es,64.2,35.8,43,24,67,252,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
france24_es,62.5,37.5,5,3,8,73,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
europapress,55.6,44.4,5,4,9,29,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
lavanguardia,52.1,47.9,25,23,48,303,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
huffington_es,50.0,50.0,8,8,16,97,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
google_news_politica,50.0,50.0,7,7,14,72,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
bbc_mundo,50.0,50.0,2,2,4,33,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
elcorreo,50.0,50.0,8,8,16,137,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
okdiario,45.5,54.5,10,12,22,253,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
expansion,41.2,58.8,7,10,17,107,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
elmundo,41.2,58.8,7,10,17,79,Marcador de agenda,2026-03-07 17:31,2026-03-07 17:31
eldiario,39.4,60.6,13,20,33,164,Mixto,2026-03-07 17:31,2026-03-07 17:31
elespanol,36.4,63.6,8,14,22,69,Mixto,2026-03-07 17:31,2026-03-07 17:31
elpais,35.6,64.4,16,29,45,240,Mixto,2026-03-07 17:31,2026-03-07 17:31
elmundo_espana,33.3,66.7,2,4,6,57,Mixto,2026-03-07 17:31,2026-03-07 17:31
heraldo_aragon,29.4,70.6,10,24,34,397,Mixto,2026-03-07 17:31,2026-03-07 17:31
20minutos,26.5,73.5,13,36,49,318,Mixto,2026-03-07 17:31,2026-03-07 17:31
levante_emv,21.7,78.3,5,18,23,168,Mixto,2026-03-07 17:31,2026-03-07 17:31
elconfidencial,20.0,80.0,2,8,10,28,Mixto,2026-03-07 17:31,2026-03-07 17:31
infolibre,11.1,88.9,2,16,18,75,Seguidor,2026-03-07 17:31,2026-03-07 17:31
maldita,0.0,100.0,0,1,1,27,Seguidor,2026-03-07 17:31,2026-03-07 17:31
elpais_internacional,0.0,100.0,0,1,1,18,Seguidor,2026-03-07 17:31,2026-03-07 17:31
elmundo_internacional,0.0,100.0,0,1,1,37,Seguidor,2026-03-07 17:31,2026-03-07 17:31
newtral,66.7,33.3,2,1,3,13,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
google_news_es,61.6,38.4,45,28,73,258,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
huffington_es,60.0,40.0,12,8,20,97,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
elmundo,57.9,42.1,11,8,19,81,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
europapress,57.1,42.9,4,3,7,29,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
elcorreo,53.8,46.2,7,6,13,137,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
lavanguardia,50.0,50.0,23,23,46,304,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
france24_es,50.0,50.0,4,4,8,77,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
okdiario,42.3,57.7,11,15,26,258,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
expansion,41.2,58.8,7,10,17,107,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
eldiario,40.6,59.4,13,19,32,164,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
bbc_mundo,40.0,60.0,2,3,5,33,Marcador de agenda,2026-03-07 18:01,2026-03-07 18:01
elpais,39.6,60.4,19,29,48,244,Mixto,2026-03-07 18:01,2026-03-07 18:01
elespanol,36.4,63.6,8,14,22,69,Mixto,2026-03-07 18:01,2026-03-07 18:01
google_news_politica,35.7,64.3,5,9,14,71,Mixto,2026-03-07 18:01,2026-03-07 18:01
elmundo_espana,33.3,66.7,2,4,6,57,Mixto,2026-03-07 18:01,2026-03-07 18:01
elconfidencial,27.3,72.7,3,8,11,28,Mixto,2026-03-07 18:01,2026-03-07 18:01
heraldo_aragon,26.3,73.7,10,28,38,404,Mixto,2026-03-07 18:01,2026-03-07 18:01
levante_emv,25.9,74.1,7,20,27,171,Mixto,2026-03-07 18:01,2026-03-07 18:01
20minutos,25.0,75.0,13,39,52,328,Mixto,2026-03-07 18:01,2026-03-07 18:01
infolibre,10.5,89.5,2,17,19,75,Seguidor,2026-03-07 18:01,2026-03-07 18:01
maldita,0.0,100.0,0,1,1,27,Seguidor,2026-03-07 18:01,2026-03-07 18:01
elpais_internacional,0.0,100.0,0,1,1,18,Seguidor,2026-03-07 18:01,2026-03-07 18:01
