source,news_count,internal_diversity,originality,original_news,repeated_news,diversity_score,last_update,cycle
maldita,28,0.949,0.893,25,3,91.5,2026-03-07 15:06,2026-03-07 15:06
newtral,13,0.981,0.769,10,3,85.4,2026-03-07 15:06,2026-03-07 15:06
heraldo_aragon,367,0.985,0.698,256,111,81.3,2026-03-07 15:06,2026-03-07 15:06
expansion,106,0.992,0.66,70,36,79.3,2026-03-07 15:06,2026-03-07 15:06
levante_emv,145,0.99,0.655,95,50,78.9,2026-03-07 15:06,2026-03-07 15:06
20minutos,309,0.994,0.625,193,116,77.3,2026-03-07 15:06,2026-03-07 15:06
elcorreo,125,0.996,0.608,76,49,76.3,2026-03-07 15:06,2026-03-07 15:06
elmundo_internacional,39,0.984,0.615,24,15,76.3,2026-03-07 15:06,2026-03-07 15:06
elmundo_espana,58,0.989,0.603,35,23,75.7,2026-03-07 15:06,2026-03-07 15:06
okdiario,238,0.988,0.601,143,95,75.6,2026-03-07 15:06,2026-03-07 15:06
huffington_es,89,0.974,0.596,53,36,74.7,2026-03-07 15:06,2026-03-07 15:06
france24_es,65,0.976,0.585,38,27,74.1,2026-03-07 15:06,2026-03-07 15:06
bbc_mundo,33,0.969,0.576,19,14,73.3,2026-03-07 15:06,2026-03-07 15:06
eldiario,159,0.994,0.553,88,71,72.9,2026-03-07 15:06,2026-03-07 15:06
google_news_es,222,0.993,0.55,122,100,72.7,2026-03-07 15:06,2026-03-07 15:06
google_news_politica,69,0.958,0.565,39,30,72.2,2026-03-07 15:06,2026-03-07 15:06
lavanguardia,296,0.996,0.527,156,140,71.5,2026-03-07 15:06,2026-03-07 15:06
europapress,28,0.966,0.536,15,13,70.8,2026-03-07 15:06,2026-03-07 15:06
elmundo,69,0.996,0.507,35,34,70.3,2026-03-07 15:06,2026-03-07 15:06
elpais,237,0.996,0.498,118,119,69.7,2026-03-07 15:06,2026-03-07 15:06
infolibre,74,0.995,0.459,34,40,67.3,2026-03-07 15:06,2026-03-07 15:06
elespanol,68,0.989,0.441,30,38,66.0,2026-03-07 15:06,2026-03-07 15:06
elpais_internacional,18,0.972,0.333,6,12,58.9,2026-03-07 15:06,2026-03-07 15:06
elconfidencial,28,0.963,0.286,8,20,55.7,2026-03-07 15:06,2026-03-07 15:06
maldita,28,0.949,0.893,25,3,91.5,2026-03-07 15:32,2026-03-07 15:32
heraldo_aragon,372,0.985,0.704,262,110,81.6,2026-03-07 15:32,2026-03-07 15:32
newtral,13,0.981,0.692,9,4,80.8,2026-03-07 15:32,2026-03-07 15:32
elcorreo,128,0.996,0.641,82,46,78.3,2026-03-07 15:32,2026-03-07 15:32
okdiario,239,0.988,0.644,154,85,78.2,2026-03-07 15:32,2026-03-07 15:32
expansion,106,0.993,0.642,68,38,78.2,2026-03-07 15:32,2026-03-07 15:32
elmundo_internacional,39,0.984,0.641,25,14,77.8,2026-03-07 15:32,2026-03-07 15:32
levante_emv,146,0.99,0.63,92,54,77.4,2026-03-07 15:32,2026-03-07 15:32
20minutos,312,0.994,0.625,195,117,77.3,2026-03-07 15:32,2026-03-07 15:32
bbc_mundo,35,0.969,0.629,22,13,76.5,2026-03-07 15:32,2026-03-07 15:32
france24_es,66,0.976,0.606,40,26,75.4,2026-03-07 15:32,2026-03-07 15:32
elmundo_espana,58,0.989,0.586,34,24,74.7,2026-03-07 15:32,2026-03-07 15:32
huffington_es,91,0.973,0.593,54,37,74.5,2026-03-07 15:32,2026-03-07 15:32
eldiario,160,0.994,0.575,92,68,74.3,2026-03-07 15:32,2026-03-07 15:32
google_news_politica,70,0.958,0.571,40,30,72.6,2026-03-07 15:32,2026-03-07 15:32
google_news_es,228,0.993,0.539,123,105,72.1,2026-03-07 15:32,2026-03-07 15:32
europapress,29,0.965,0.552,16,13,71.7,2026-03-07 15:32,2026-03-07 15:32
elpais,237,0.996,0.519,123,114,71.0,2026-03-07 15:32,2026-03-07 15:32
elmundo,69,0.995,0.507,35,34,70.2,2026-03-07 15:32,2026-03-07 15:32
lavanguardia,299,0.996,0.495,148,151,69.5,2026-03-07 15:32,2026-03-07 15:32
elespanol,68,0.99,0.471,32,36,67.9,2026-03-07 15:32,2026-03-07 15:32
infolibre,75,0.995,0.467,35,40,67.8,2026-03-07 15:32,2026-03-07 15:32
elpais_internacional,18,0.972,0.389,7,11,62.2,2026-03-07 15:32,2026-03-07 15:32
elconfidencial,28,0.963,0.286,8,20,55.7,2026-03-07 15:32,2026-03-07 15:32
maldita,28,0.947,0.893,25,3,91.5,2026-03-07 16:02,2026-03-07 16:02
newtral,13,0.982,0.769,10,3,85.4,2026-03-07 16:02,2026-03-07 16:02
heraldo_aragon,382,0.985,0.699,267,115,81.3,2026-03-07 16:02,2026-03-07 16:02
elcorreo,131,0.996,0.634,83,48,77.9,2026-03-07 16:02,2026-03-07 16:02
elmundo_internacional,39,0.982,0.641,25,14,77.7,2026-03-07 16:02,2026-03-07 16:02
okdiario,241,0.988,0.635,153,88,77.6,2026-03-07 16:02,2026-03-07 16:02
levante_emv,149,0.99,0.631,94,55,77.5,2026-03-07 16:02,2026-03-07 16:02
bbc_mundo,36,0.97,0.639,23,13,77.1,2026-03-07 16:02,2026-03-07 16:02
20minutos,316,0.994,0.617,195,121,76.8,2026-03-07 16:02,2026-03-07 16:02
expansion,105,0.992,0.619,65,40,76.8,2026-03-07 16:02,2026-03-07 16:02
huffington_es,92,0.973,0.598,55,37,74.8,2026-03-07 16:02,2026-03-07 16:02
elmundo_espana,58,0.989,0.586,34,24,74.7,2026-03-07 16:02,2026-03-07 16:02
google_news_politica,71,0.957,0.592,42,29,73.8,2026-03-07 16:02,2026-03-07 16:02
france24_es,68,0.976,0.574,39,29,73.5,2026-03-07 16:02,2026-03-07 16:02
google_news_es,235,0.993,0.557,131,104,73.1,2026-03-07 16:02,2026-03-07 16:02
eldiario,162,0.994,0.549,89,73,72.7,2026-03-07 16:02,2026-03-07 16:02
europapress,29,0.964,0.552,16,13,71.7,2026-03-07 16:02,2026-03-07 16:02
elpais,237,0.996,0.515,122,115,70.7,2026-03-07 16:02,2026-03-07 16:02
lavanguardia,300,0.996,0.51,153,147,70.4,2026-03-07 16:02,2026-03-07 16:02
elmundo,70,0.996,0.5,35,35,69.8,2026-03-07 16:02,2026-03-07 16:02
elespanol,69,0.989,0.493,34,35,69.1,2026-03-07 16:02,2026-03-07 16:02
infolibre,74,0.995,0.419,31,43,64.9,2026-03-07 16:02,2026-03-07 16:02
elpais_internacional,18,0.972,0.389,7,11,62.2,2026-03-07 16:02,2026-03-07 16:02
elconfidencial,28,0.964,0.286,8,20,55.7,2026-03-07 16:02,2026-03-07 16:02
maldita,27,0.949,0.889,24,3,91.3,2026-03-07 16:32,2026-03-07 16:32
newtral,13,0.981,0.769,10,3,85.4,2026-03-07 16:32,2026-03-07 16:32
heraldo_aragon,389,0.985,0.697,271,118,81.2,2026-03-07 16:32,2026-03-07 16:32
okdiario,246,0.988,0.65,160,86,78.5,2026-03-07 16:32,2026-03-07 16:32
levante_emv,154,0.99,0.649,100,54,78.5,2026-03-07 16:32,2026-03-07 16:32
elmundo_internacional,39,0.984,0.641,25,14,77.8,2026-03-07 16:32,2026-03-07 16:32
expansion,107,0.992,0.626,67,40,77.2,2026-03-07 16:32,2026-03-07 16:32
20minutos,318,0.994,0.623,198,120,77.1,2026-03-07 16:32,2026-03-07 16:32
elcorreo,134,0.996,0.619,83,51,77.0,2026-03-07 16:32,2026-03-07 16:32
elmundo_espana,58,0.989,0.621,36,22,76.8,2026-03-07 16:32,2026-03-07 16:32
bbc_mundo,34,0.969,0.618,21,13,75.8,2026-03-07 16:32,2026-03-07 16:32
huffington_es,95,0.973,0.611,58,37,75.6,2026-03-07 16:32,2026-03-07 16:32
google_news_politica,71,0.959,0.606,43,28,74.7,2026-03-07 16:32,2026-03-07 16:32
france24_es,69,0.977,0.594,41,28,74.7,2026-03-07 16:32,2026-03-07 16:32
eldiario,163,0.994,0.577,94,69,74.4,2026-03-07 16:32,2026-03-07 16:32
europapress,29,0.965,0.552,16,13,71.7,2026-03-07 16:32,2026-03-07 16:32
google_news_es,241,0.993,0.527,127,114,71.3,2026-03-07 16:32,2026-03-07 16:32
elpais,237,0.996,0.519,123,114,71.0,2026-03-07 16:32,2026-03-07 16:32
lavanguardia,302,0.996,0.493,149,153,69.4,2026-03-07 16:32,2026-03-07 16:32
elespanol,69,0.99,0.493,34,35,69.2,2026-03-07 16:32,2026-03-07 16:32
elmundo,70,0.996,0.471,33,37,68.1,2026-03-07 16:32,2026-03-07 16:32
infolibre,74,0.995,0.459,34,40,67.3,2026-03-07 16:32,2026-03-07 16:32
elpais_internacional,18,0.972,0.389,7,11,62.2,2026-03-07 16:32,2026-03-07 16:32
elconfidencial,28,0.963,0.321,9,19,57.8,2026-03-07 16:32,2026-03-07 16:32
maldita,27,0.948,0.852,23,4,89.0,2026-03-07 17:02,2026-03-07 17:02
newtral,13,0.982,0.769,10,3,85.4,2026-03-07 17:02,2026-03-07 17:02
heraldo_aragon,391,0.985,0.708,277,114,81.9,2026-03-07 17:02,2026-03-07 17:02
okdiario,248,0.988,0.641,159,89,78.0,2026-03-07 17:02,2026-03-07 17:02
bbc_mundo,34,0.969,0.647,22,12,77.6,2026-03-07 17:02,2026-03-07 17:02
elcorreo,136,0.996,0.625,85,51,77.3,2026-03-07 17:02,2026-03-07 17:02
expansion,107,0.992,0.626,67,40,77.2,2026-03-07 17:02,2026-03-07 17:02
levante_emv,164,0.991,0.622,102,62,77.0,2026-03-07 17:02,2026-03-07 17:02
20minutos,318,0.994,0.613,195,123,76.5,2026-03-07 17:02,2026-03-07 17:02
huffington_es,95,0.974,0.621,59,36,76.2,2026-03-07 17:02,2026-03-07 17:02
elmundo_internacional,39,0.982,0.59,23,16,74.7,2026-03-07 17:02,2026-03-07 17:02
elmundo_espana,57,0.989,0.579,33,24,74.3,2026-03-07 17:02,2026-03-07 17:02
eldiario,163,0.994,0.564,92,71,73.6,2026-03-07 17:02,2026-03-07 17:02
france24_es,71,0.976,0.563,40,31,72.8,2026-03-07 17:02,2026-03-07 17:02
google_news_es,248,0.993,0.548,136,112,72.6,2026-03-07 17:02,2026-03-07 17:02
google_news_politica,72,0.956,0.542,39,33,70.8,2026-03-07 17:02,2026-03-07 17:02
lavanguardia,303,0.996,0.505,153,150,70.1,2026-03-07 17:02,2026-03-07 17:02
elpais,237,0.996,0.502,119,118,70.0,2026-03-07 17:02,2026-03-07 17:02
europapress,29,0.965,0.517,15,14,69.6,2026-03-07 17:02,2026-03-07 17:02
elmundo,73,0.995,0.493,36,37,69.4,2026-03-07 17:02,2026-03-07 17:02
elespanol,69,0.989,0.493,34,35,69.1,2026-03-07 17:02,2026-03-07 17:02
infolibre,75,0.995,0.467,35,40,67.8,2026-03-07 17:02,2026-03-07 17:02
elpais_internacional,18,0.971,0.333,6,12,58.8,2026-03-07 17:02,2026-03-07 17:02
elconfidencial,28,0.964,0.286,8,20,55.7,2026-03-07 17:02,2026-03-07 17:02
maldita,27,0.949,0.889,24,3,91.3,2026-03-07 17:32,2026-03-07 17:32
newtral,13,0.981,0.769,10,3,85.4,2026-03-07 17:32,2026-03-07 17:32
heraldo_aragon,397,0.985,0.68,270,127,80.2,2026-03-07 17:32,2026-03-07 17:32
okdiario,253,0.988,0.656,166,87,78.9,2026-03-07 17:32,2026-03-07 17:32
bbc_mundo,33,0.971,0.636,21,12,77.0,2026-03-07 17:32,2026-03-07 17:32
elcorreo,137,0.996,0.613,84,53,76.6,2026-03-07 17:32,2026-03-07 17:32
levante_emv,168,0.991,0.613,103,65,76.4,2026-03-07 17:32,2026-03-07 17:32
20minutos,318,0.994,0.601,191,127,75.8,2026-03-07 17:32,2026-03-07 17:32
elmundo_internacional,37,0.984,0.595,22,15,75.1,2026-03-07 17:32,2026-03-07 17:32
expansion,107,0.992,0.589,63,44,75.0,2026-03-07 17:32,2026-03-07 17:32
huffington_es,97,0.974,0.588,57,40,74.2,2026-03-07 17:32,2026-03-07 17:32
eldiario,164,0.994,0.561,92,72,73.4,2026-03-07 17:32,2026-03-07 17:32
elmundo_espana,57,0.989,0.561,32,25,73.2,2026-03-07 17:32,2026-03-07 17:32
france24_es,73,0.976,0.562,41,32,72.8,2026-03-07 17:32,2026-03-07 17:32
google_news_politica,72,0.958,0.569,41,31,72.5,2026-03-07 17:32,2026-03-07 17:32
google_news_es,252,0.993,0.532,134,118,71.6,2026-03-07 17:32,2026-03-07 17:32
elmundo,79,0.995,0.506,40,39,70.2,2026-03-07 17:32,2026-03-07 17:32
europapress,29,0.965,0.517,15,14,69.6,2026-03-07 17:32,2026-03-07 17:32
elpais,240,0.996,0.483,116,124,68.8,2026-03-07 17:32,2026-03-07 17:32
lavanguardia,303,0.996,0.479,145,158,68.6,2026-03-07 17:32,2026-03-07 17:32
infolibre,75,0.995,0.467,35,40,67.8,2026-03-07 17:32,2026-03-07 17:32
elespanol,69,0.989,0.464,32,37,67.4,2026-03-07 17:32,2026-03-07 17:32
elpais_internacional,18,0.972,0.389,7,11,62.2,2026-03-07 17:32,2026-03-07 17:32
elconfidencial,28,0.963,0.357,10,18,59.9,2026-03-07 17:32,2026-03-07 17:32
maldita,27,0.949,0.852,23,4,89.1,2026-03-07 18:02,2026-03-07 18:02
newtral,13,0.982,0.769,10,3,85.4,2026-03-07 18:02,2026-03-07 18:02
heraldo_aragon,404,0.985,0.683,276,128,80.4,2026-03-07 18:02,2026-03-07 18:02
okdiario,258,0.988,0.64,165,93,77.9,2026-03-07 18:02,2026-03-07 18:02
expansion,107,0.992,0.626,67,40,77.2,2026-03-07 18:02,2026-03-07 18:02
bbc_mundo,33,0.972,0.636,21,12,77.0,2026-03-07 18:02,2026-03-07 18:02
levante_emv,171,0.991,0.614,105,66,76.5,2026-03-07 18:02,2026-03-07 18:02
elcorreo,137,0.996,0.584,80,57,74.9,2026-03-07 18:02,2026-03-07 18:02
eldiario,164,0.994,0.579,95,69,74.5,2026-03-07 18:02,2026-03-07 18:02
elmundo_espana,57,0.988,0.579,33,24,74.3,2026-03-07 18:02,2026-03-07 18:02
france24_es,77,0.976,0.584,45,32,74.1,2026-03-07 18:02,2026-03-07 18:02
huffington_es,97,0.975,0.577,56,41,73.6,2026-03-07 18:02,2026-03-07 18:02
20minutos,328,0.994,0.561,184,144,73.4,2026-03-07 18:02,2026-03-07 18:02
elmundo_internacional,37,0.984,0.568,21,16,73.4,2026-03-07 18:02,2026-03-07 18:02
google_news_politica,71,0.958,0.577,41,30,72.9,2026-03-07 18:02,2026-03-07 18:02
google_news_es,258,0.993,0.539,139,119,72.1,2026-03-07 18:02,2026-03-07 18:02
infolibre,75,0.995,0.52,39,36,71.0,2026-03-07 18:02,2026-03-07 18:02
europapress,29,0.965,0.517,15,14,69.6,2026-03-07 18:02,2026-03-07 18:02
elmundo,81,0.995,0.494,40,41,69.4,2026-03-07 18:02,2026-03-07 18:02
elpais,244,0.995,0.488,119,125,69.1,2026-03-07 18:02,2026-03-07 18:02
lavanguardia,304,0.996,0.467,142,162,67.9,2026-03-07 18:02,2026-03-07 18:02
elpais_internacional,18,0.972,0.444,8,10,65.5,2026-03-07 18:02,2026-03-07 18:02
elespanol,69,0.989,0.42,29,40,64.8,2026-03-07 18:02,2026-03-07 18:02
elconfidencial,28,0.964,0.357,10,18,60.0,2026-03-07 18:02,2026-03-07 18:02
maldita,27,0.949,0.889,24,3,91.3,2026-03-07 18:32,2026-03-07 18:32
newtral,13,0.981,0.769,10,3,85.4,2026-03-07 18:32,2026-03-07 18:32
heraldo_aragon,411,0.985,0.681,280,131,80.3,2026-03-07 18:32,2026-03-07 18:32
okdiario,262,0.989,0.641,168,94,78.0,2026-03-07 18:32,2026-03-07 18:32
bbc_mundo,33,0.972,0.636,21,12,77.0,2026-03-07 18:32,2026-03-07 18:32
levante_emv,184,0.992,0.614,113,71,76.5,2026-03-07 18:32,2026-03-07 18:32
elcorreo,137,0.996,0.606,83,54,76.2,2026-03-07 18:32,2026-03-07 18:32
expansion,107,0.992,0.598,64,43,75.6,2026-03-07 18:32,2026-03-07 18:32
elmundo_internacional,37,0.984,0.595,22,15,75.1,2026-03-07 18:32,2026-03-07 18:32
20minutos,332,0.994,0.584,194,138,74.8,2026-03-07 18:32,2026-03-07 18:32
france24_es,78,0.976,0.59,46,32,74.4,2026-03-07 18:32,2026-03-07 18:32
eldiario,165,0.994,0.539,89,76,72.1,2026-03-07 18:32,2026-03-07 18:32
huffington_es,98,0.974,0.551,54,44,72.0,2026-03-07 18:32,2026-03-07 18:32
google_news_es,264,0.993,0.534,141,123,71.8,2026-03-07 18:32,2026-03-07 18:32
elmundo_espana,56,0.989,0.518,29,27,70.6,2026-03-07 18:32,2026-03-07 18:32
elmundo,82,0.995,0.512,42,40,70.5,2026-03-07 18:32,2026-03-07 18:32
google_news_politica,71,0.958,0.535,38,33,70.4,2026-03-07 18:32,2026-03-07 18:32
elpais,248,0.996,0.484,120,128,68.9,2026-03-07 18:32,2026-03-07 18:32
lavanguardia,311,0.996,0.476,148,163,68.4,2026-03-07 18:32,2026-03-07 18:32
infolibre,75,0.995,0.467,35,40,67.8,2026-03-07 18:32,2026-03-07 18:32
elespanol,71,0.989,0.451,32,39,66.6,2026-03-07 18:32,2026-03-07 18:32
europapress,29,0.964,0.448,13,16,65.4,2026-03-07 18:32,2026-03-07 18:32
elpais_internacional,18,0.973,0.389,7,11,62.3,2026-03-07 18:32,2026-03-07 18:32
elconfidencial,28,0.963,0.321,9,19,57.8,2026-03-07 18:32,2026-03-07 18:32
maldita,27,0.95,0.889,24,3,91.3,2026-03-07 19:02,2026-03-07 19:02
newtral,13,0.982,0.769,10,3,85.4,2026-03-07 19:02,2026-03-07 19:02
heraldo_aragon,418,0.985,0.672,281,137,79.7,2026-03-07 19:02,2026-03-07 19:02
okdiario,266,0.988,0.647,172,94,78.3,2026-03-07 19:02,2026-03-07 19:02
levante_emv,192,0.992,0.62,119,73,76.9,2026-03-07 19:02,2026-03-07 19:02
expansion,107,0.992,0.617,66,41,76.7,2026-03-07 19:02,2026-03-07 19:02
elmundo_espana,56,0.989,0.589,33,23,74.9,2026-03-07 19:02,2026-03-07 19:02
google_news_politica,69,0.958,0.609,42,27,74.9,2026-03-07 19:02,2026-03-07 19:02
elcorreo,147,0.996,0.578,85,62,74.5,2026-03-07 19:02,2026-03-07 19:02
france24_es,78,0.976,0.577,45,33,73.7,2026-03-07 19:02,2026-03-07 19:02
20minutos,335,0.994,0.564,189,146,73.6,2026-03-07 19:02,2026-03-07 19:02
bbc_mundo,33,0.971,0.576,19,14,73.4,2026-03-07 19:02,2026-03-07 19:02
eldiario,167,0.993,0.551,92,75,72.8,2026-03-07 19:02,2026-03-07 19:02
elmundo_internacional,36,0.984,0.556,20,16,72.7,2026-03-07 19:02,2026-03-07 19:02
huffington_es,100,0.974,0.56,56,44,72.6,2026-03-07 19:02,2026-03-07 19:02
google_news_es,269,0.993,0.513,138,131,70.5,2026-03-07 19:02,2026-03-07 19:02
elpais,251,0.996,0.494,124,127,69.5,2026-03-07 19:02,2026-03-07 19:02
lavanguardia,318,0.996,0.491,156,162,69.3,2026-03-07 19:02,2026-03-07 19:02
infolibre,75,0.995,0.48,36,39,68.6,2026-03-07 19:02,2026-03-07 19:02
elmundo,85,0.995,0.471,40,45,68.1,2026-03-07 19:02,2026-03-07 19:02
europapress,29,0.964,0.483,14,15,67.5,2026-03-07 19:02,2026-03-07 19:02
elespanol,71,0.989,0.423,30,41,64.9,2026-03-07 19:02,2026-03-07 19:02
elpais_internacional,19,0.974,0.316,6,13,57.9,2026-03-07 19:02,2026-03-07 19:02
elconfidencial,28,0.963,0.321,9,19,57.8,2026-03-07 19:02,2026-03-07 19:02
maldita,27,0.948,0.889,24,3,91.3,2026-03-07 19:32,2026-03-07 19:32
newtral,13,0.982,0.692,9,4,80.8,2026-03-07 19:32,2026-03-07 19:32
heraldo_aragon,423,0.986,0.674,285,138,79.9,2026-03-07 19:32,2026-03-07 19:32
bbc_mundo,34,0.97,0.647,22,12,77.6,2026-03-07 19:32,2026-03-07 19:32
okdiario,274,0.988,0.628,172,102,77.2,2026-03-07 19:32,2026-03-07 19:32
huffington_es,104,0.973,0.615,64,40,75.8,2026-03-07 19:32,2026-03-07 19:32
expansion,107,0.992,0.598,64,43,75.6,2026-03-07 19:32,2026-03-07 19:32
20minutos,338,0.994,0.577,195,143,74.4,2026-03-07 19:32,2026-03-07 19:32
levante_emv,197,0.992,0.579,114,83,74.4,2026-03-07 19:32,2026-03-07 19:32
elmundo_internacional,36,0.984,0.583,21,15,74.3,2026-03-07 19:32,2026-03-07 19:32
france24_es,79,0.977,0.582,46,33,74.0,2026-03-07 19:32,2026-03-07 19:32
elmundo_espana,55,0.989,0.564,31,24,73.4,2026-03-07 19:32,2026-03-07 19:32
elcorreo,153,0.996,0.556,85,68,73.2,2026-03-07 19:32,2026-03-07 19:32
eldiario,168,0.993,0.548,92,76,72.6,2026-03-07 19:32,2026-03-07 19:32
google_news_es,272,0.993,0.518,141,131,70.8,2026-03-07 19:32,2026-03-07 19:32
lavanguardia,321,0.996,0.498,160,161,69.7,2026-03-07 19:32,2026-03-07 19:32
elpais,254,0.995,0.484,123,131,68.8,2026-03-07 19:32,2026-03-07 19:32
elmundo,85,0.995,0.471,40,45,68.1,2026-03-07 19:32,2026-03-07 19:32
elespanol,72,0.989,0.472,34,38,67.9,2026-03-07 19:32,2026-03-07 19:32
google_news_politica,69,0.957,0.493,34,35,67.9,2026-03-07 19:32,2026-03-07 19:32
europapress,29,0.965,0.483,14,15,67.6,2026-03-07 19:32,2026-03-07 19:32
infolibre,76,0.995,0.421,32,44,65.1,2026-03-07 19:32,2026-03-07 19:32
elpais_internacional,19,0.974,0.316,6,13,57.9,2026-03-07 19:32,2026-03-07 19:32
